augmentation_index,blur_sigma,filename,font,fontsize,glyph,glyph_code,noise_sigma,rotation,scale,synthetic,tx,ty
26,0.22,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug26.png,synthetic_default,12,ం,3074,9.97,-3.44,0.98,True,-2,2
27,0.91,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug27.png,synthetic_default,12,ం,3074,1.67,1.97,1.0,True,-2,-2
28,0.8,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug28.png,synthetic_default,12,ం,3074,0.51,-4.05,1.04,True,1,-1
29,1.22,data/raw/synthetic_default/12pt/synthetic_default_03074_12pt_aug29.png,synthetic_default,12,ం,3074,1.62,-2.19,1.01,True,-2,0
0,0,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug00.png,synthetic_default,12,ః,3075,0,0,,True,,
1,0.73,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug01.png,synthetic_default,12,ః,3075,0.82,-2.28,0.98,True,-2,1
2,0.43,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug02.png,synthetic_default,12,ః,3075,1.18,-4.89,0.98,True,-2,2
3,0.41,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug03.png,synthetic_default,12,ః,3075,8.96,-4.33,0.97,True,1,-2
4,0.21,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug04.png,synthetic_default,12,ః,3075,0.57,1.13,0.95,True,0,0
5,1.09,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug05.png,synthetic_default,12,ః,3075,3.2,-1.43,0.99,True,-2,0
6,0.58,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug06.png,synthetic_default,12,ః,3075,8.76,-1.83,1.02,True,2,2
7,0.96,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug07.png,synthetic_default,12,ః,3075,5.93,3.1,0.96,True,0,-1
8,0.94,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug08.png,synthetic_default,12,ః,3075,0.17,-1.49,1.0,True,2,1
9,0.62,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug09.png,synthetic_default,12,ః,3075,8.35,-2.06,0.96,True,1,2
10,0.58,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug10.png,synthetic_default,12,ః,3075,8.83,-4.14,1.01,True,-2,2
11,0.99,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug11.png,synthetic_default,12,ః,3075,5.21,3.59,0.98,True,0,-1
12,0.93,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug12.png,synthetic_default,12,ః,3075,0.5,-3.17,1.04,True,-2,-2
13,0.86,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug13.png,synthetic_default,12,ః,3075,3.62,1.24,0.98,True,1,-1
14,1.46,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug14.png,synthetic_default,12,ః,3075,6.45,-1.71,1.0,True,-1,1
15,1.49,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug15.png,synthetic_default,12,ః,3075,5.98,-4.72,0.98,True,1,-2
16,0.32,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug16.png,synthetic_default,12,ః,3075,0.63,-3.25,0.96,True,-1,1
17,0.25,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug17.png,synthetic_default,12,ః,3075,6.65,2.95,1.02,True,1,1
18,0.42,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug18.png,synthetic_default,12,ః,3075,7.67,1.5,1.04,True,-1,2
19,0.11,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug19.png,synthetic_default,12,ః,3075,5.9,3.83,1.03,True,1,-1
20,0.66,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug20.png,synthetic_default,12,ః,3075,5.75,-1.79,1.03,True,1,2
21,0.0,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug21.png,synthetic_default,12,ః,3075,4.13,0.39,0.95,True,1,2
22,0.35,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug22.png,synthetic_default,12,ః,3075,5.74,1.66,1.04,True,-2,-2
23,1.18,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug23.png,synthetic_default,12,ః,3075,5.7,-4.15,0.98,True,0,1
24,1.26,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug24.png,synthetic_default,12,ః,3075,3.81,3.03,0.96,True,1,1
25,0.57,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug25.png,synthetic_default,12,ః,3075,0.44,2.44,0.97,True,1,-2
26,1.43,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug26.png,synthetic_default,12,ః,3075,2.66,-4.17,1.03,True,-1,1
27,0.01,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug27.png,synthetic_default,12,ః,3075,3.28,-1.72,0.96,True,-2,2
28,1.12,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug28.png,synthetic_default,12,ః,3075,6.08,1.15,1.03,True,2,-1
29,1.2,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug29.png,synthetic_default,12,ః,3075,9.85,1.26,1.02,True,-1,0
0,0,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug00.png,synthetic_default,12,ః,3075,0,0,,True,,
1,0.6,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug01.png,synthetic_default,12,ః,3075,5.89,3.88,1.04,True,-1,2
2,0.81,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug02.png,synthetic_default,12,ః,3075,8.02,-3.48,0.95,True,0,-2
3,0.2,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug03.png,synthetic_default,12,ః,3075,9.2,3.43,1.0,True,-2,1
4,0.72,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug04.png,synthetic_default,12,ః,3075,1.56,4.74,1.0,True,-2,1
5,0.82,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug05.png,synthetic_default,12,ః,3075,1.09,2.49,0.97,True,2,1
6,0.41,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug06.png,synthetic_default,12,ః,3075,1.07,2.78,0.99,True,-2,2
7,1.31,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug07.png,synthetic_default,12,ః,3075,1.84,-1.64,0.98,True,-1,-2
8,1.49,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug08.png,synthetic_default,12,ః,3075,7.17,0.83,1.02,True,0,-2
9,1.22,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug09.png,synthetic_default,12,ః,3075,3.69,2.56,0.97,True,2,2
10,1.25,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug10.png,synthetic_default,12,ః,3075,7.2,1.38,0.97,True,1,-2
11,0.51,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug11.png,synthetic_default,12,ః,3075,5.72,2.41,1.02,True,-1,0
12,0.99,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug12.png,synthetic_default,12,ః,3075,9.57,-0.96,1.0,True,-2,-1
13,0.55,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug13.png,synthetic_default,12,ః,3075,0.86,2.75,0.99,True,-1,-1
14,0.81,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug14.png,synthetic_default,12,ః,3075,8.52,2.6,0.98,True,1,1
15,0.22,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug15.png,synthetic_default,12,ః,3075,3.83,2.05,0.98,True,-1,1
16,0.08,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug16.png,synthetic_default,12,ః,3075,9.76,-4.59,0.99,True,0,0
17,1.09,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug17.png,synthetic_default,12,ః,3075,8.98,1.56,1.04,True,-2,1
18,0.58,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug18.png,synthetic_default,12,ః,3075,3.06,-2.53,1.01,True,-1,-2
19,0.49,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug19.png,synthetic_default,12,ః,3075,8.94,3.99,1.04,True,1,0
20,0.91,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug20.png,synthetic_default,12,ః,3075,7.49,2.5,1.0,True,-2,0
21,0.66,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug21.png,synthetic_default,12,ః,3075,9.8,-2.06,1.04,True,-2,-1
22,0.91,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug22.png,synthetic_default,12,ః,3075,7.17,1.53,0.95,True,0,-1
23,0.03,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug23.png,synthetic_default,12,ః,3075,5.52,1.75,1.01,True,1,-2
24,1.14,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug24.png,synthetic_default,12,ః,3075,1.2,1.08,0.99,True,-2,1
25,0.32,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug25.png,synthetic_default,12,ః,3075,3.41,1.54,0.97,True,1,0
26,0.24,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug26.png,synthetic_default,12,ః,3075,9.3,-1.1,0.97,True,-1,0
27,0.5,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug27.png,synthetic_default,12,ః,3075,3.58,2.66,1.02,True,2,-2
28,0.71,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug28.png,synthetic_default,12,ః,3075,2.71,-0.1,0.97,True,1,1
29,0.64,data/raw/synthetic_default/12pt/synthetic_default_03075_12pt_aug29.png,synthetic_default,12,ః,3075,9.76,2.88,0.99,True,2,-2
0,0,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug00.png,synthetic_default,12,అ,3077,0,0,,True,,
1,0.65,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug01.png,synthetic_default,12,అ,3077,4.54,-1.48,0.98,True,2,1
2,0.06,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug02.png,synthetic_default,12,అ,3077,4.19,-1.08,0.95,True,-2,-2
3,1.45,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug03.png,synthetic_default,12,అ,3077,4.82,-2.36,1.0,True,0,2
4,0.36,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug04.png,synthetic_default,12,అ,3077,5.14,-0.72,0.99,True,-1,-2
5,1.08,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug05.png,synthetic_default,12,అ,3077,3.53,0.61,0.98,True,2,-1
6,1.26,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug06.png,synthetic_default,12,అ,3077,9.15,-2.61,0.95,True,0,-2
7,0.58,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug07.png,synthetic_default,12,అ,3077,5.4,-1.37,0.98,True,-1,0
8,1.12,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug08.png,synthetic_default,12,అ,3077,7.73,-2.81,1.01,True,0,-1
9,1.38,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug09.png,synthetic_default,12,అ,3077,3.57,3.09,1.01,True,1,0
10,0.59,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug10.png,synthetic_default,12,అ,3077,9.45,0.63,1.0,True,-1,2
11,1.26,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug11.png,synthetic_default,12,అ,3077,3.8,-3.86,0.98,True,2,2
12,0.02,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug12.png,synthetic_default,12,అ,3077,1.7,-3.51,1.01,True,-2,-2
13,1.22,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug13.png,synthetic_default,12,అ,3077,5.47,-2.34,1.03,True,1,0
14,0.05,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug14.png,synthetic_default,12,అ,3077,2.65,4.18,1.01,True,2,1
15,0.96,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug15.png,synthetic_default,12,అ,3077,9.52,4.14,1.03,True,2,-1
16,0.65,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug16.png,synthetic_default,12,అ,3077,9.84,-2.89,1.04,True,-1,-1
17,0.3,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug17.png,synthetic_default,12,అ,3077,0.98,-0.3,1.02,True,2,0
18,0.16,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug18.png,synthetic_default,12,అ,3077,4.44,0.27,1.02,True,1,-2
19,0.4,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug19.png,synthetic_default,12,అ,3077,1.4,-1.31,1.02,True,1,-1
20,1.22,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug20.png,synthetic_default,12,అ,3077,5.28,2.83,1.01,True,-2,-2
21,0.23,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug21.png,synthetic_default,12,అ,3077,5.43,-3.25,1.01,True,-2,2
22,0.09,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug22.png,synthetic_default,12,అ,3077,1.23,-2.65,0.96,True,-2,2
23,0.92,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug23.png,synthetic_default,12,అ,3077,7.34,-1.92,0.97,True,2,0
24,1.48,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug24.png,synthetic_default,12,అ,3077,0.81,1.19,1.0,True,2,-2
25,0.62,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug25.png,synthetic_default,12,అ,3077,3.54,4.53,0.98,True,1,2
26,1.46,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug26.png,synthetic_default,12,అ,3077,1.17,-3.6,1.0,True,1,-2
27,0.85,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug27.png,synthetic_default,12,అ,3077,7.63,-0.65,0.96,True,0,1
28,1.13,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug28.png,synthetic_default,12,అ,3077,3.52,0.02,0.98,True,1,-2
29,1.01,data/raw/synthetic_default/12pt/synthetic_default_03077_12pt_aug29.png,synthetic_default,12,అ,3077,9.4,0.88,1.05,True,2,-2
0,0,data/raw/synthetic_default/12pt/synthetic_default_03078_12pt_aug00.png,synthetic_default,12,ఆ,3078,0,0,,True,,
